disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-VHD-MS,二尖瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Procedure,[],[],[],PROC-CARD-8BAC32B2612E,电复律,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-A1C4E6332D38,抗凝治疗,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-655F4B37BC,控制心室率,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-EEF9C97B59,血运重建,[],[]
DIS-CARD-VHD-MULTI,多瓣膜病,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3F7C3AF7F14D647D,3.不同疾病分别导致不同瓣膜损害如先天性肺动脉瓣狭窄伴风湿性二尖瓣病变,[],[]
DIS-CARD-VHD-MULTI,多瓣膜病,Procedure,[],[],[],CARD-SKELETON-20260709-PROCEDURE-FA9CF9F5BBDD3E3D,外科手术,[],[]
DIS-CARD-VHD-MULTI,多瓣膜病,Procedure,[],[],[],PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,[],[]
DIS-CARD-VHD-MULTI,多瓣膜病,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
DIS-CARD-VHD-MULTI,多瓣膜病,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
