adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-E64EDCF38E473878,REC-A0E6935D6AC7EE2A,冠心病,8
SRCADJ-CARD-BULK-2BABB3A77C444138,REC-9F4AE2CA59BC31FD,冠心病,8
SRCADJ-CARD-BULK-8B4D91ED8AC45301,REC-FC74D87AD42E1DEE,冠心病,8
SRCADJ-CARD-BULK-2055A83B8D1894BC,REC-519A282D9FA59F80,冠心病,8
SRCADJ-CARD-BULK-3A79DD94A4342ABD,REC-31FDF389F87DF498,冠心病,8
SRCADJ-CARD-BULK-5F97942790A5AA59,REC-BCD75DEF65B26D94,冠心病,8
SRCADJ-CARD-BULK-979C580291AB07D0,REC-958D0F163042872C,冠心病,8
SRCADJ-CARD-BULK-3D898BE7189ED777,REC-7FC15860DEFB09C7,冠心病,8
SRCADJ-CARD-BULK-A32A115831B47394,REC-ECD135124D130550,冠心病,8
SRCADJ-CARD-BULK-F2C58DD6235F96F1,REC-FD8A02E13A450238,冠心病,8
SRCADJ-CARD-BULK-9E8567D65CCDDFAC,REC-1DB8472584314B12,冠心病,8
SRCADJ-CARD-BULK-234101ED0C54B5B8,REC-B8F3F8B7A05BF477,冠心病,8
SRCADJ-CARD-BULK-755B91D86B009A81,REC-D9423724BE813415,冠心病,8
SRCADJ-CARD-BULK-CBD1E79963F17B3A,REC-07308C6CEE0C3A7E,冠心病,8
SRCADJ-CARD-BULK-4145DD3148F05CA8,REC-531E3349DCFCE290,冠心病,8
SRCADJ-CARD-BULK-89011DE1E18AA51B,REC-A18FFF0048F87DE9,冠心病,8
