scope,disease_code,disease,plan_code,plan_name,relation,target_code,target_name,status
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-6CC6BC610CAE,电除颤,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-5F23E250AADD,埋藏式心脏转复除颤器,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-6A8C8F96D8A0,心肺复苏,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-36488EFD8194,同步电复律,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-BA093052CBC6,导管消融,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-TEXT-23F5CDA89B,起搏器植入,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-BDB19D2C7A36,冠状动脉旁路移植术,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-TEXT-84551F84B4,射频消融术,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-A694F46F1102,电复律除颤,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-TEXT-EEF9C97B59,血运重建,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-8D7FDE84DC07,射频消融治疗,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-946BE3CB675F,ICD治疗,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-A694F46F1102,电复律除颤,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-946BE3CB675F,ICD治疗,linked
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-8D7FDE84DC07,射频消融治疗,linked
