疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速,independent_disease,,0,通过,存在精确标准诊断：房室结折返性心动过速(STDDX-21dd37e340ea5a814951f0abdb53365d),1,8,1,6,6,0,0,20,0,1,1,4,6,0,4,6,5,2,1,1,0,101,7,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AT,房性心动过速,independent_disease,,0,通过,存在精确标准诊断：房性心动过速(STDDX-9cd9a0b744409e3a0b1a7c0ee7a10850),1,11,7,12,10,0,0,25,0,1,1,4,6,0,5,16,6,0,1,1,0,293,7,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,independent_disease,,0,通过,存在精确标准诊断：持续性室性心动过速(STDDX-53864a978dbbc4a2dbd4c4847f7722e7),1,11,14,19,7,0,0,57,6,1,3,0,0,1,6,19,11,0,1,1,0,647,5,4,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-ERS,早期复极综合征,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,5,4,2,3,0,0,31,0,0,0,0,0,0,1,1,2,0,0,0,0,29,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心律失常,DIS-CARD-ARR-BBB,束支传导阻滞,independent_disease,,0,通过,存在精确标准诊断：束支传导阻滞(STDDX-6ceb458cd7dbb096657ab4285f283d16),1,13,11,5,9,0,0,45,7,1,2,2,11,1,2,0,5,0,2,1,0,102,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征,independent_disease,,0,非阻断,只有上位/回退标准诊断：短QT综合征(STDDX-29e2a296e713dcecf33cdff90e1cde63)；可知识展示，不可自动写出院诊断。,1,4,1,9,2,0,0,27,0,1,3,0,0,0,2,0,1,0,1,1,0,24,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-SB,窦性心动过缓,independent_disease,,0,通过,存在精确标准诊断：窦性心动过缓(STDDX-ab7719565aa1023b218454d075577918),1,7,4,3,9,0,0,22,0,1,2,1,7,1,9,6,3,0,2,1,0,163,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-SINUS,窦性心律失常,independent_disease,,0,通过,存在精确标准诊断：窦性心律失常(STDDX-75f1c0a6a27589c82330f4f637df93fc),1,5,3,1,4,0,0,13,0,0,0,0,0,0,1,3,1,0,0,0,0,23,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心律失常,DIS-CARD-ARR-SAB,窦房传导阻滞,independent_disease,,0,通过,存在精确标准诊断：窦房传导阻滞(STDDX-ea1627556086d23c73fd7c90898c7290),1,6,2,3,7,0,0,18,0,2,9,1,7,0,2,0,3,1,2,2,0,26,3,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-SND,窦房结功能障碍,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,7,4,1,5,0,0,24,0,1,2,0,0,1,1,2,3,0,2,1,0,121,5,3,,分型缺检查/检验项目
