CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
并发症管理,7,Complication,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
疑似疾病识别,34,Symptom、Sign,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
诊断建议,7,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
鉴别诊断,3,DifferentialDiagnosis,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
推荐检查,13,Exam、ExamIndicator,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
推荐检验,3,LabTest、LabTestIndicator,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
风险分层,0,RiskStratification,0,缺血性心肌病,,DIS-CARD-CAD-ICM,缺口,280
治疗方案,4,TreatmentPlan、RecommendationStatement,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
药物推荐,3,Medication,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
手术/操作推荐,5,Procedure,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
禁忌与风险预警,6,Contraindication、ClinicalRule,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
随访,1,FollowUp,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可展示但需补强,280
预后/预防,1,Prognosis、Prevention,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可展示但需补强,280
并发症管理,11,Complication,0,缺血性心肌病,,DIS-CARD-CAD-ICM,可用于CDSS展示,280
疑似疾病识别,11,Symptom、Sign,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可用于CDSS展示,24
诊断建议,3,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可用于CDSS展示,24
鉴别诊断,0,DifferentialDiagnosis,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,缺口,24
推荐检查,4,Exam、ExamIndicator,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可用于CDSS展示,24
推荐检验,2,LabTest、LabTestIndicator,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
风险分层,0,RiskStratification,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,缺口,24
治疗方案,2,TreatmentPlan、RecommendationStatement,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
药物推荐,4,Medication,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可用于CDSS展示,24
手术/操作推荐,1,Procedure,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
禁忌与风险预警,2,Contraindication、ClinicalRule,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
随访,1,FollowUp,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
预后/预防,1,Prognosis、Prevention,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可展示但需补强,24
并发症管理,4,Complication,0,陈旧性心肌梗死,,DIS-CARD-CAD-OLD-MI,可用于CDSS展示,24
疑似疾病识别,7,Symptom、Sign,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可用于CDSS展示,7
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可用于CDSS展示,7
鉴别诊断,0,DifferentialDiagnosis,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,缺口,7
推荐检查,8,Exam、ExamIndicator,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可用于CDSS展示,7
