batch_id,code,duplicate_replaced_by,entity_type,name,node_element_id
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-241B4B0218DF-运动耐量', 'IND-EXAM-CARD-896888B4FC85-运动耐量']",,ExamIndicator,运动耐量,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43337
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-241B4B0218DF-运动诱发ST段压低', 'IND-EXAM-CARD-896888B4FC85-运动诱发ST段压低']",,ExamIndicator,运动诱发ST段压低,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43344
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-241B4B0218DF-运动诱发心律失常', 'IND-EXAM-CARD-896888B4FC85-运动诱发心律失常']",,ExamIndicator,运动诱发心律失常,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43361
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-241B4B0218DF-运动诱发心绞痛', 'IND-EXAM-CARD-896888B4FC85-运动诱发心绞痛']",,ExamIndicator,运动诱发心绞痛,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43349
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-F6AAC5622DEA-钙化', 'IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-钙化', 'IND-EXAM-CARD-TEXT-9A031190AE-钙化']",,ExamIndicator,钙化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36213
"['FOUNDATION-CARD-DEEP-20260625-001', '20260715_心肌炎心包炎感染性心内膜炎正式解析']","['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",PROC-CARD-TEXT-53ECAA23AE,Procedure,经导管主动脉瓣置换术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25696
20260715_心肌炎心包炎感染性心内膜炎正式解析,"['PROC-PBMV', 'PROC-CARD-74A1F415EBD2']",PROC-PBMV,Procedure,经皮球囊二尖瓣成形术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46984
20260715_结构性心脏病先心病正式解析,"['PROC-CARD-5558D37982AF', 'PROC-CARD-B4FC5ED6A1F7']",PROC-CARD-5558D37982AF,Procedure,经皮球囊肺动脉瓣成形术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46980
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['RISKCOMP-RISK-CARD-9566F1411AE9-ST段偏移', 'RISKCOMP-RISK-CARD-638FD4C2210F-ST段偏移']",,RiskFactor,ST段偏移,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43450
"['BATCH-CARD-HT-20260709-001_高血压_Hypertension', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['RF-CARD-C5097AF85131', 'RISKCOMP-RISK-CARD-7A36CE5B521B-吸烟']",,RiskFactor,吸烟,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25728
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['RISKCOMP-RISK-CARD-BD6FBD0D2712-女性', 'RISKCOMP-RISK-CARD-7A36CE5B521B-女性']",,RiskFactor,女性,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43467
"['BATCH-CARD-CAD-REMAINING-20260712-001', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['RF-CARD-CADREM-UA-D06E58C8BA', 'RISKCOMP-RISK-CARD-9566F1411AE9-年龄', 'RISKCOMP-RISK-CARD-638FD4C2210F-年龄']",,RiskFactor,年龄,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43533
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['RISKCOMP-RISK-CARD-638FD4C2210F-心肌损伤标志物升高', 'RISKCOMP-RISK-CARD-9566F1411AE9-心肌损伤标志物升高']",,RiskFactor,心肌损伤标志物升高,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43452
"['BATCH-CARD-HT-20260709-001_高血压_Hypertension', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['RF-CARD-26FAEB71ABE2', 'RISKCOMP-RISK-CARD-BD6FBD0D2712-糖尿病']",,RiskFactor,糖尿病,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25725
"['20260715_血脂异常动脉粥样硬化防治正式解析', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['RF-CARD-DE0A9F1FE2C8', 'RISKCOMP-RISK-CARD-BD6FBD0D2712-高血压', 'RISKCOMP-RISK-CARD-E21D88A4688D-高血压']",RF-CARD-DE0A9F1FE2C8,RiskFactor,高血压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25729
