CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
预后/预防,1,Prognosis、Prevention,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可展示但需补强,101
并发症管理,6,Complication,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
疑似疾病识别,18,Symptom、Sign,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
诊断建议,9,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
鉴别诊断,4,DifferentialDiagnosis,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
推荐检查,5,Exam、ExamIndicator,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
推荐检验,5,LabTest、LabTestIndicator,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
风险分层,0,RiskStratification,0,房性心动过速,,DIS-CARD-ARR-AT,缺口,454
治疗方案,6,TreatmentPlan、RecommendationStatement,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
药物推荐,10,Medication,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
手术/操作推荐,7,Procedure,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
禁忌与风险预警,7,Contraindication、ClinicalRule,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
随访,1,FollowUp,0,房性心动过速,,DIS-CARD-ARR-AT,可展示但需补强,454
预后/预防,1,Prognosis、Prevention,0,房性心动过速,,DIS-CARD-ARR-AT,可展示但需补强,454
并发症管理,10,Complication,0,房性心动过速,,DIS-CARD-ARR-AT,可用于CDSS展示,454
疑似疾病识别,25,Symptom、Sign,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
鉴别诊断,0,DifferentialDiagnosis,0,持续性室性心动过速,,DIS-CARD-ARR-VT,缺口,1333
推荐检查,12,Exam、ExamIndicator,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
推荐检验,7,LabTest、LabTestIndicator,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
风险分层,1,RiskStratification,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可展示但需补强,1333
治疗方案,10,TreatmentPlan、RecommendationStatement,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
药物推荐,19,Medication,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
手术/操作推荐,13,Procedure,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
禁忌与风险预警,4,Contraindication、ClinicalRule,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
随访,1,FollowUp,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可展示但需补强,1333
预后/预防,1,Prognosis、Prevention,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可展示但需补强,1333
并发症管理,7,Complication,0,持续性室性心动过速,,DIS-CARD-ARR-VT,可用于CDSS展示,1333
疑似疾病识别,9,Symptom、Sign,0,早期复极综合征,,DIS-CARD-ARR-ERS,可用于CDSS展示,111
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,早期复极综合征,,DIS-CARD-ARR-ERS,缺口,111
鉴别诊断,0,DifferentialDiagnosis,0,早期复极综合征,,DIS-CARD-ARR-ERS,缺口,111
推荐检查,4,Exam、ExamIndicator,0,早期复极综合征,,DIS-CARD-ARR-ERS,可用于CDSS展示,111
推荐检验,1,LabTest、LabTestIndicator,0,早期复极综合征,,DIS-CARD-ARR-ERS,可展示但需补强,111
风险分层,0,RiskStratification,0,早期复极综合征,,DIS-CARD-ARR-ERS,缺口,111
