review_level,review_id,batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,relation_id,target_code,target_name,review_decision,overall_risk_level,reviewer_name,reviewer_role,reviewed_at,expert_comment
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-768FB4DDD282,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-768FB4DDD282,MED-CARD-TEXT-EE219280A7,抗凝药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-162A3ACD0F10,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-162A3ACD0F10,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-5ADD0CC474E3,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-5ADD0CC474E3,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-AB0FB4048FBA,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-AB0FB4048FBA,PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-F4139B255FE7,BATCH-CARD-CAD-20260623-001,,,,includes_procedure,Procedure,REL-PLANEXEC-F4139B255FE7,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-E9003277A6CC,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,includes_medication,Medication,REL-PLANEXEC-E9003277A6CC,MED-CARD-TEXT-D07193A49C,溶栓药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-26E3978A2AA0,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,includes_medication,Medication,REL-PLANEXEC-26E3978A2AA0,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-3D5058DCB2A1,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-3D5058DCB2A1,MED-CARD-TEXT-EE219280A7,抗凝药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-A483B24946D5,BATCH-CARD-CAD-20260623-001,,,,includes_procedure,Procedure,REL-PLANEXEC-A483B24946D5,PROC-CARD-11EC8565EE70,吸氧治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-648659B1398E,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-648659B1398E,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-613CF0F4952E,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-613CF0F4952E,MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-78F32C05C4D5,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-78F32C05C4D5,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-69676CE2B455,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-69676CE2B455,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-779257EACB28,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,includes_medication,Medication,REL-PLANEXEC-779257EACB28,MED-DIURETIC,利尿剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-A60D28D3C7C0,BATCH-CARD-CAD-20260623-001,,,,includes_procedure,Procedure,REL-PLANEXEC-A60D28D3C7C0,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-B7E15F35881C,BATCH-CARD-CAD-20260623-001,,,,includes_procedure,Procedure,REL-PLANEXEC-B7E15F35881C,PROC-CARD-BDB19D2C7A36,冠状动脉旁路移植术,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-B7DCDFE04B40,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,includes_medication,Medication,REL-PLANEXEC-B7DCDFE04B40,MED-CARD-TEXT-D07193A49C,溶栓药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-86C8463FBADF,BATCH-CARD-CAD-20260623-001,,,,includes_procedure,Procedure,REL-PLANEXEC-86C8463FBADF,PROC-CARD-8BAC32B2612E,电复律,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-F77F1D6441CD,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,includes_medication,Medication,REL-PLANEXEC-F77F1D6441CD,MED-AMIODARONE,胺碘酮,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-FB5BE79A4953,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,includes_medication,Medication,REL-PLANEXEC-FB5BE79A4953,MED-CARD-DAE0F0B68F1D,他汀类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-2C0FA7A51273,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,includes_medication,Medication,REL-PLANEXEC-2C0FA7A51273,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-PLANEXEC-A1114FFCE2D6,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,includes_medication,Medication,REL-PLANEXEC-A1114FFCE2D6,MED-CARD-36D5B18BD8D3,β受体阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-8E3B5C384507CD38,BATCH-CARD-CAD-20260623-001,,,,has_follow_up,FollowUp,REL-8E3B5C384507CD38,FU-CARD-CAD-SILENT-ISCHEMIA-ANNUAL-FOLLOW-UP,隐匿性冠心病年度临床随访评估,,,,,,
detail,DETAIL-BATCH-CARD-CM-20260622-001-REL-1802AD86B9A61DCA837B,BATCH-CARD-CM-20260622-001,,,,has_follow_up,FollowUp,REL-1802AD86B9A61DCA837B,FU-CARD-D122E1A8DC19,致心律失常性心肌病随访方案,,,,,,
