disease_code,disease_name,entity_type,name,node_codes,node_count
DIS-CARD-MYOCARDITIS,心肌炎,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-MYOCARDITIS,心肌炎,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-MYOCARDITIS,心肌炎,Symptom,咯血,"['SYM-CARD-TEXT-DB87B8B091', 'SYM-CARD-DB87B8B091D1']",2
DIS-CARD-MYOCARDITIS,心肌炎,Symptom,咳嗽,"['SYM-CARD-TEXT-24EDE9C876', 'SYM-CARD-24EDE9C8766A']",2
DIS-CARD-PDA,动脉导管未闭,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-PDA,动脉导管未闭,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-PDA,动脉导管未闭,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-PDA,动脉导管未闭,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-PERICARD-ACUTE,急性心包炎,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-PERICARD-ACUTE,急性心包炎,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-PERICARD-ACUTE,急性心包炎,LabTest,D-二聚体,"['CARD-SKELETON-FULL-20260709-LABTEST-963F52815A5370A3', 'LAB-CARD-2E1F4EC42626']",2
DIS-CARD-PERICARD-ACUTE,急性心包炎,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-PERICARD-CONSTRICTIVE,缩窄性心包炎,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-PERICARDITIS,心包炎,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-PERICARDITIS,心包炎,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PERICARDITIS,心包炎,Procedure,经导管主动脉瓣置换术,"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-TAVR']",2
DIS-CARD-PFO,卵圆孔未闭,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-PH,肺动脉高压,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-PH,肺动脉高压,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-PH,肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-HPAH,遗传性肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-IPAH,特发性肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-PH-PAH,动脉性肺动脉高压,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-PH-PAH,动脉性肺动脉高压,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-PH-PAH,动脉性肺动脉高压,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VHD,心脏瓣膜病,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VHD-AS,主动脉瓣狭窄,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-VHD-AS,主动脉瓣狭窄,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-VHD-MR,二尖瓣反流,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-VHD-MR,二尖瓣反流,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VHD-MS,二尖瓣狭窄,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VHD-TR,三尖瓣反流,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-VSD,室间隔缺损,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-VSD,室间隔缺损,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-VSD,室间隔缺损,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-VSD,室间隔缺损,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-VSD,室间隔缺损,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-VSD,室间隔缺损,Symptom,咳嗽,"['SYM-CARD-TEXT-24EDE9C876', 'SYM-CARD-24EDE9C8766A']",2
DIS-CARD-VTE,静脉血栓症,LabTest,D-二聚体,"['CARD-SKELETON-FULL-20260709-LABTEST-963F52815A5370A3', 'LAB-CARD-2E1F4EC42626']",2
